,ио,об,ср,вС
"[0, 0]",-0.000403741,-0.004965516,-0.000399979,-0.000452345
"[0, 1]",-0.000207278,-0.148542229,-0.000943822,-0.000935985
"[1, 1]",-0.000208328,-0.113615128,0.000985838,-0.001348639
terminal,0,0,0,0
"[1, 0]",-0.000419917,-0.002621631,-0.000963919,-0.000440519
"[2, 0]",-0.000784235,-0.000450185,-0.077255306,-0.000224936
"[2, 1]",-1.78E-06,0.011207469,-0.04900995,-8.99E-05
"[2, 2]",-2.84E-05,0,0.078945732,-0.01
"[2, 3]",0,-0.01,0,0
"[1, 3]",-0.01,0,0,0
"[1, 4]",0,0,-0.01,0
"[0, 3]",-0.01,0,0,0
"[0, 4]",0,0,0,0
"[3, 2]",-0.0199,0,0.394993933,7.73E-05
"[3, 3]",0.001181288,-0.01,0,0
"[4, 3]",0,-0.01,0,0
